PRODUCE,COST PER POUND,POUNDS SOLD
Potatoes,0.86,21.6
Okra,2.26,38.6
Fava beans,2.69,32.8
Watermelon,0.66,27.3
Garlic,1.19,4.9
Parsnips,2.27,1.1
Asparagus,2.49,37.9
Avocados,3.23,9.2
Celery,3.07,28.9
Okra,2.26,40
Spinach,4.12,30
Cucumber,1.07,36
Apricots,3.71,29.4
Okra,2.26,9.5
Fava beans,2.69,5.3
Watermelon,0.66,35.4
Ginger,5.13,14.4
Corn,1.07,12.2
Grapefruit,0.76,35.7
Ginger,5.13,15.2
Eggplant,2.32,5
Cucumber,1.07,31.8
Green cabbage,0.8,2.8
Eggplant,2.32,32.8
Yellow peppers,2.87,26.5
Garlic,1.19,38.2
Grapes,2.63,17.4
Watermelon,0.66,7.3
Cherries,9.5,25.6
Apples,1.88,6.1
Grapefruit,0.76,21.1
Grapes,2.63,4.6
Green beans,2.52,31.1
Tomatoes,3.16,20.9
Apricots,3.71,7
Red onion,0.78,34.1
Strawberries,4.4,18.5
Grapes,2.63,39.3
Ginger,5.13,32
Strawberries,4.4,32.2
Fava beans,2.69,21
Yellow peppers,2.87,32.6
Papaya,1.34,2.6
Butternut squash,1.28,29.7
Apricots,3.71,34.8
Avocados,3.23,31.1
Butternut squash,1.28,27.3
Celery,3.07,24.2
Bananas,0.86,3
Lettuce,1.88,8.8
Carrots,1.26,39.4
Asparagus,2.49,32.5
Ginger,5.13,20.4
Daikon,1.4,29.6
Lime,1.06,25.2
Watermelon,0.66,32.8
Apricots,3.71,2.7
Green beans,2.52,34.9
Strawberries,4.4,19.5
Watermelon,0.66,7.5
Green peppers,1.89,34.5
Bananas,0.86,3.4
Apples,1.88,28.8
Spinach,4.12,12.8
Avocados,3.23,10.4
Okra,2.26,23.9
Papaya,1.34,19.1
Beets,1.51,28
Green beans,2.52,38.5
Grapefruit,0.76,5.8
Butternut squash,1.28,14.1
Parsnips,2.27,33
Cherries,9.5,11.4
Papaya,1.34,26.5
Bananas,0.86,27.2
Eggplant,2.32,21.2
Apricots,3.71,25.5
Eggplant,2.32,30.2
Coconuts,1.18,35.8
Grapefruit,0.76,13.3
Grapes,2.63,14.2
Avocados,3.23,35.1
Avocados,3.23,29.6
Apples,1.88,19
Daikon,1.4,32.9
Lime,1.06,30.7
Lime,1.06,37.5
Daikon,1.4,3.3
Garlic,1.19,28.7
Apples,1.88,9.6
Orange,1.09,31.9
Spinach,4.12,22.8
Okra,2.26,3.1
Celery,3.07,33.6
Lemon,1.29,14.2
Garlic,1.19,38.2
Spinach,4.12,4.1
Watermelon,0.66,11.3
Coconuts,1.18,33.5
Apricots,3.71,8.5
Lettuce,1.88,1.6
Tomatoes,3.16,7.5
Strawberries,4.4,11.1
Coconuts,1.18,33.9
Parsnips,2.27,14.5
Brussels sprouts,1.65,11.7
Celery,3.07,16.1
Grapes,2.63,20.6
Coconuts,1.18,38.6
Coconuts,1.18,1.4
