supplier_id,supplier_name,products_supplied
1,Supplier 1,152
2,Supplier 2,229
3,Supplier 3,142
4,Supplier 4,64
5,Supplier 5,156
6,Supplier 6,121
7,Supplier 7,238
8,Supplier 8,70
9,Supplier 9,152
10,Supplier 10,171
11,Supplier 11,260
12,Supplier 12,264
13,Supplier 13,124
14,Supplier 14,252
15,Supplier 15,137
16,Supplier 16,166
17,Supplier 17,149
18,Supplier 18,153
19,Supplier 19,201
20,Supplier 20,180
21,Supplier 21,199
22,Supplier 22,102
23,Supplier 23,51
24,Supplier 24,137
25,Supplier 25,285
26,Supplier 26,207
27,Supplier 27,87
28,Supplier 28,179
29,Supplier 29,241
30,Supplier 30,237
31,Supplier 31,70
32,Supplier 32,210
33,Supplier 33,253
34,Supplier 34,107
35,Supplier 35,71
36,Supplier 36,285
37,Supplier 37,138
38,Supplier 38,98
39,Supplier 39,268
40,Supplier 40,108
41,Supplier 41,219
42,Supplier 42,269
43,Supplier 43,237
44,Supplier 44,257
45,Supplier 45,64
46,Supplier 46,239
47,Supplier 47,239
48,Supplier 48,224
49,Supplier 49,239
50,Supplier 50,100
51,Supplier 51,157
52,Supplier 52,104
53,Supplier 53,293
54,Supplier 54,113
55,Supplier 55,298
56,Supplier 56,180
57,Supplier 57,278
58,Supplier 58,100
59,Supplier 59,184
60,Supplier 60,70
61,Supplier 61,122
62,Supplier 62,216
63,Supplier 63,67
64,Supplier 64,181
65,Supplier 65,138
66,Supplier 66,109
67,Supplier 67,63
68,Supplier 68,291
69,Supplier 69,299
70,Supplier 70,58
71,Supplier 71,139
72,Supplier 72,102
73,Supplier 73,179
74,Supplier 74,133
75,Supplier 75,141
76,Supplier 76,160
77,Supplier 77,237
78,Supplier 78,248
79,Supplier 79,221
80,Supplier 80,57
81,Supplier 81,224
82,Supplier 82,84
83,Supplier 83,255
84,Supplier 84,130
85,Supplier 85,213
86,Supplier 86,99
87,Supplier 87,153
88,Supplier 88,181
89,Supplier 89,51
90,Supplier 90,183
91,Supplier 91,103
92,Supplier 92,155
93,Supplier 93,53
94,Supplier 94,103
95,Supplier 95,270
96,Supplier 96,240
97,Supplier 97,195
98,Supplier 98,267
99,Supplier 99,93
100,Supplier 100,211
