condado,numero_sectores,poblacion_total
Abbeville,6,25417
Acadia,12,61773
Accomack,11,33164
Ada,59,392365
Adair,22,74628
Adams,186,786662
Addison,10,36821
Aiken,33,160099
Aitkin,6,16202
Alachua,56,247336
Alamance,36,151131
Alameda,360,1510271
Alamosa,4,15445
Albany,85,340503
Albemarle,22,98970
Alcona,5,10942
Alcorn,7,37057
Aleutians East,1,3141
Aleutians West,2,5561
Alexander,11,45436
Alexandria,38,139966
Alfalfa,3,5642
Alger,3,9601
Allamakee,5,14330
Allegan,25,111408
Allegany,36,124033
Alleghany,9,27405
Allegheny,402,1223348
Allen,145,520751
Allendale,3,10419
Alpena,10,29598
Alpine,1,1175
Amador,9,38091
Amelia,2,12690
Amherst,9,32353
Amite,3,13131
Anchorage,55,291826
Anderson,75,350236
Andrew,4,17291
Andrews,4,14786
Androscoggin,28,107702
Angelina,17,86771
Anne Arundel,104,537656
Anoka,83,330844
Anson,6,26948
Antelope,3,6685
Antrim,7,23580
Apache,16,71518
Appanoose,5,12887
Appling,5,18236
Appomattox,3,14973
Aransas,5,23158
Arapahoe,147,572003
Archer,3,9054
Archuleta,4,12084
Arenac,5,15899
Arkansas,8,19019
Arlington,59,207627
Armstrong,20,70842
Aroostook,24,71870
Arthur,1,460
Ascension,14,107215
Ashe,6,27281
Ashland,18,69296
Ashley,7,21853
Ashtabula,25,101497
Asotin,6,21623
Assumption,6,23421
Atascosa,8,44911
Atchison,6,22609
Athens,15,64757
Atkinson,3,8375
Atlantic,69,274549
Atoka,4,14182
Attala,6,19564
Audrain,7,25529
Audubon,3,6119
Auglaize,11,45949
Augusta,13,73750
Aurora,1,2710
Austin,6,28417
Autauga,12,54571
Avery,5,17797
Avoyelles,9,42073
Baca,2,3788
Bacon,3,11096
Bailey,1,7165
Baker,12,46700
Baldwin,40,227985
Ballard,3,8249
Baltimore,214,805029
Baltimore City,200,620961
Bamberg,4,15987
Bandera,5,20485
Banks,4,18395
Banner,1,690
Bannock,22,82839
Baraga,2,8860
Barber,2,4861
Barbour,13,44046
Barnes,4,11066
Barnstable,57,215888
Barnwell,6,22621
Barren,10,42173
Barron,10,45870
Barrow,18,69367
Barry,18,94770
Bartholomew,15,76794
Barton,11,40076
Bartow,15,100157
Bastrop,10,74171
Bates,4,17049
Bath,4,16322
Baxter,9,41513
Bay,70,276623
Bayfield,5,15014
Baylor,1,3726
Beadle,6,17398
Bear Lake,2,5986
Beaufort,52,209992
Beauregard,7,35654
Beaver,56,182804
Beaverhead,3,9246
Becker,10,32504
Beckham,4,22119
Bedford,36,163496
Bedford City,1,6222
Bee,7,31861
Belknap,15,60088
Bell,74,338926
Belmont,20,70400
Beltrami,10,44442
Ben Hill,5,17634
Benewah,2,9285
Bennett,2,3431
Bennington,12,37125
Benson,4,6660
Bent,1,6499
Benton,136,599750
Benzie,5,17525
Bergen,179,905116
Berkeley,59,282012
Berks,90,411442
Berkshire,39,131219
Bernalillo,153,662564
Berrien,54,176099
Bertie,4,21282
Bethel,3,17013
Bexar,366,1714773
Bibb,48,178462
Bienville,5,14353
Big Horn,8,24533
Big Stone,3,5269
Billings,1,783
Bingham,8,45607
Black Hawk,38,131090
Blackford,4,12766
Bladen,6,35190
Blaine,14,40288
Blair,34,127089
Blanco,2,10497
Bland,2,6824
Bleckley,3,13063
Bledsoe,3,12876
Blount,37,180332
Blue Earth,16,64013
Boise,1,7028
Bolivar,8,34145
Bollinger,3,12363
Bon Homme,2,7070
Bond,4,17768
Bonner,9,40877
Bonneville,21,104234
Boone,92,485601
Borden,1,641
Bosque,7,18212
Bossier,22,116979
Botetourt,8,33148
Bottineau,3,6429
Boulder,68,294567
Boundary,2,10972
Bourbon,11,35158
Bowie,18,92565
Bowman,2,3151
Box Butte,3,11308
Box Elder,11,49975
Boyd,14,51641
Boyle,7,28432
Bracken,3,8488
Bradford,18,91142
Bradley,24,110471
Branch,12,45248
Brantley,3,18411
Braxton,3,14523
Brazoria,51,313166
Brazos,42,194851
Breathitt,7,13878
Breckinridge,6,20059
Bremer,8,24276
Brevard,113,543376
Brewster,3,9232
Briscoe,1,1637
Bristol,141,615995
Bristol Bay,1,997
Broadwater,2,5612
Bronx,339,1385108
Brooke,6,24069
Brookings,6,31965
Brooks,7,23466
Broome,55,200600
Broomfield,18,55889
Broward,361,1748066
Brown,101,428691
Brule,2,5255
Brunswick,38,124865
Bryan,18,72649
Buchanan,38,134257
Buckingham,4,17146
Bucks,143,625249
Buena Vista,7,26910
Buffalo,17,61601
Bullitt,18,74319
Bulloch,12,70217
Bullock,3,10914
Buncombe,56,238318
Bureau,10,34978
Burke,25,116196
Burleigh,19,81308
Burleson,5,17187
Burlington,114,448734
Burnet,8,42750
Burnett,6,15457
Burt,3,6858
Butler,169,717565
Butte,54,233001
Butts,3,23655
Cabarrus,37,178011
Cabell,29,96319
Cache,26,112656
Caddo,72,284569
Calaveras,10,45578
Calcasieu,44,192768
Caldwell,33,153635
Caledonia,10,31227
Calhoun,99,355309
Callahan,3,13544
Callaway,8,44332
Calloway,9,37191
Calumet,11,48971
Calvert,18,88737
Camas,1,1117
Cambria,42,143679
Camden,150,618152
Cameron,91,418144
Camp,3,12401
Campbell,56,233493
Canadian,29,115541
Candler,3,10998
Cannon,3,13801
Canyon,29,188923
Cape Girardeau,16,75674
Cape May,32,97265
Carbon,27,112615
Caribou,2,6963
Carlisle,3,5104
Carlton,7,35386
Caroline,16,61611
Carroll,120,527386
Carson,2,6182
Carson City,14,55274
Carter,38,140126
Carteret,38,66469
Carver,19,91042
Cascade,22,81327
Casey,5,15955
Cass,108,452385
Cassia,6,22952
Castro,3,8062
Caswell,6,23719
Catahoula,3,10407
Catawba,31,154358
Catoosa,11,63942
Catron,1,3725
Cattaraugus,21,80317
Cavalier,2,3993
Cayuga,20,80026
Cecil,19,101108
Cedar,10,41333
Centre,31,153990
Cerro Gordo,11,44151
Chaffee,5,17809
Chambers,15,69311
Champaign,53,241178
Chariton,3,7831
Charles,30,146551
Charles City,3,7256
Charles Mix,3,9129
Charleston,86,350209
Charlevoix,13,25949
Charlotte,42,172564
Charlottesville,12,43475
Charlton,2,12171
Chase,2,6756
Chatham,85,328633
Chattahoochee,5,11267
Chattooga,6,26015
Chautauqua,36,138574
Chaves,16,65645
Cheatham,9,39105
Cheboygan,8,26152
Chelan,14,72453
Chemung,22,88830
Chenango,12,50477
Cherokee,83,454628
Cherry,2,5713
Chesapeake,41,222209
Cheshire,16,77117
Chester,130,549157
Chesterfield,81,362970
Cheyenne,5,14560
Chickasaw,8,29831
Chicot,4,11800
Childress,2,7041
Chilton,9,43643
Chippewa,29,113376
Chisago,10,53887
Chittenden,35,156545
Choctaw,12,37611
Chouteau,2,5813
Chowan,3,14793
Christian,43,186177
