genre_top15,n_canciones,popularidad_media,pct_explicit,pct_mayor,danceability_media,energy_media,valence_media
pop-film,1000,59.283,0.1,55.7,0.597146,0.6045619,0.5292533
k-pop,1000,56.896,4.9,51.9,0.647732,0.675654,0.5569152
chill,1000,53.651,17.1,61.3,0.664346,0.4267229,0.4037695
sad,1000,52.379,45,60.9,0.692378,0.4624701,0.4220495
grunge,1000,49.594,7.199999999999999,65.9,0.457062,0.80329,0.400373
indian,1000,49.539,2.4,69.39999999999999,0.592273,0.567121,0.463024
anime,1000,48.772,5.5,51.300000000000004,0.5374514,0.6741083,0.4344631
emo,1000,48.128,46.5,62.9,0.599321,0.6699669203,0.441135
sertanejo,1000,47.866,0.6,84.3,0.591647,0.710391,0.619325
pop,1000,47.576,7.3999999999999995,50.9,0.630441,0.606437,0.5062227
progressive-house,1000,46.615,5.2,47.8,0.623935,0.813359,0.3653001
piano,1000,45.273,1.2,72.39999999999999,0.4550983,0.320102564,0.3132662
mandopop,1000,45.025,0.8,77,0.546532,0.4984339,0.3501643
deep-house,1000,44.808,2.5,46.2,0.710448,0.741855,0.4472821
brazil,1000,44.67,8.6,69.1,0.562948,0.620721,0.4697896
Otros,99000,30.799171717171717,8.27979797979798,64.05151515151515,0.5626914020202021,0.6456812108373737,0.47799440132323234
